document_id,fold,role
train:145,2,train
train:146,2,train
train:149,2,train
train:150,2,train
train:151,2,train
train:152,2,train
train:153,2,train
train:154,2,train
train:155,2,train
train:156,2,train
train:157,2,train
train:158,2,train
train:159,2,train
train:160,2,train
train:161,2,train
train:162,2,train
train:163,2,train
train:164,2,train
train:165,2,train
train:2,2,validation
train:16,2,validation
train:18,2,validation
train:27,2,validation
train:31,2,validation
train:41,2,validation
train:45,2,validation
train:49,2,validation
train:50,2,validation
train:62,2,validation
train:64,2,validation
train:68,2,validation
train:72,2,validation
train:73,2,validation
train:75,2,validation
train:79,2,validation
train:80,2,validation
train:85,2,validation
train:88,2,validation
train:93,2,validation
train:96,2,validation
train:103,2,validation
train:105,2,validation
train:107,2,validation
train:109,2,validation
train:113,2,validation
train:123,2,validation
train:132,2,validation
train:133,2,validation
train:134,2,validation
train:143,2,validation
train:147,2,validation
train:148,2,validation
train:0,3,train
train:1,3,train
train:2,3,train
train:3,3,train
train:4,3,train
train:5,3,train
train:7,3,train
train:8,3,train
train:9,3,train
train:10,3,train
train:11,3,train
train:14,3,train
train:15,3,train
train:16,3,train
train:18,3,train
train:19,3,train
train:20,3,train
train:22,3,train
train:24,3,train
train:25,3,train
train:26,3,train
train:27,3,train
train:28,3,train
train:29,3,train
train:30,3,train
train:31,3,train
train:32,3,train
train:34,3,train
train:37,3,train
train:38,3,train
train:39,3,train
train:40,3,train
train:41,3,train
train:42,3,train
train:43,3,train
train:44,3,train
train:45,3,train
train:46,3,train
train:47,3,train
train:48,3,train
train:49,3,train
train:50,3,train
train:52,3,train
train:53,3,train
train:54,3,train
train:55,3,train
train:56,3,train
train:57,3,train
train:58,3,train
train:61,3,train
train:62,3,train
train:63,3,train
train:64,3,train
train:65,3,train
train:67,3,train
train:68,3,train
train:70,3,train
train:71,3,train
train:72,3,train
train:73,3,train
train:74,3,train
train:75,3,train
train:77,3,train
train:79,3,train
train:80,3,train
train:81,3,train
train:82,3,train
train:83,3,train
train:85,3,train
train:86,3,train
train:87,3,train
train:88,3,train
train:89,3,train
train:90,3,train
train:91,3,train
train:92,3,train
train:93,3,train
train:94,3,train
train:95,3,train
train:96,3,train
train:97,3,train
train:98,3,train
train:99,3,train
train:100,3,train
train:102,3,train
train:103,3,train
train:104,3,train
train:105,3,train
train:106,3,train
train:107,3,train
train:109,3,train
train:110,3,train
train:111,3,train
train:112,3,train
train:113,3,train
train:114,3,train
train:117,3,train
train:118,3,train
train:119,3,train
train:123,3,train
train:124,3,train
train:125,3,train
train:127,3,train
train:128,3,train
train:129,3,train
train:130,3,train
train:132,3,train
train:133,3,train
train:134,3,train
train:135,3,train
train:136,3,train
train:137,3,train
train:139,3,train
train:141,3,train
train:142,3,train
train:143,3,train
train:144,3,train
train:147,3,train
train:148,3,train
train:149,3,train
train:150,3,train
train:151,3,train
train:152,3,train
train:153,3,train
train:154,3,train
train:156,3,train
train:157,3,train
train:158,3,train
train:159,3,train
train:160,3,train
train:161,3,train
train:163,3,train
train:164,3,train
train:6,3,validation
train:12,3,validation
train:13,3,validation
train:17,3,validation
train:21,3,validation
train:23,3,validation
train:33,3,validation
train:35,3,validation
train:36,3,validation
train:51,3,validation
train:59,3,validation
train:60,3,validation
train:66,3,validation
train:69,3,validation
train:76,3,validation
train:78,3,validation
train:84,3,validation
train:101,3,validation
train:108,3,validation
train:115,3,validation
train:116,3,validation
train:120,3,validation
train:121,3,validation
train:122,3,validation
train:126,3,validation
train:131,3,validation
train:138,3,validation
train:140,3,validation
train:145,3,validation
train:146,3,validation
train:155,3,validation
train:162,3,validation
train:165,3,validation
train:0,4,train
train:1,4,train
train:2,4,train
train:4,4,train
train:6,4,train
train:7,4,train
train:10,4,train
train:11,4,train
train:12,4,train
train:13,4,train
train:14,4,train
train:15,4,train
train:16,4,train
train:17,4,train
train:18,4,train
train:21,4,train
train:22,4,train
train:23,4,train
train:25,4,train
train:26,4,train
train:27,4,train
train:28,4,train
train:29,4,train
train:30,4,train
train:31,4,train
train:32,4,train
train:33,4,train
train:34,4,train
train:35,4,train
train:36,4,train
train:38,4,train
train:39,4,train
train:40,4,train
train:41,4,train
train:43,4,train
train:45,4,train
train:47,4,train
train:48,4,train
train:49,4,train
train:50,4,train
train:51,4,train
train:52,4,train
train:54,4,train
train:56,4,train
train:58,4,train
train:59,4,train
train:60,4,train
train:61,4,train
train:62,4,train
train:63,4,train
train:64,4,train
train:65,4,train
train:66,4,train
train:68,4,train
train:69,4,train
train:70,4,train
train:72,4,train
train:73,4,train
train:74,4,train
train:75,4,train
train:76,4,train
train:77,4,train
train:78,4,train
train:79,4,train
train:80,4,train
train:82,4,train
train:83,4,train
train:84,4,train
train:85,4,train
train:86,4,train
train:87,4,train
train:88,4,train
train:91,4,train
train:93,4,train
train:94,4,train
train:95,4,train
train:96,4,train
train:97,4,train
train:101,4,train
train:103,4,train
train:104,4,train
train:105,4,train
train:106,4,train
train:107,4,train
train:108,4,train
train:109,4,train
train:112,4,train
train:113,4,train
train:114,4,train
train:115,4,train
train:116,4,train
train:117,4,train
train:119,4,train
train:120,4,train
train:121,4,train
train:122,4,train
train:123,4,train
train:124,4,train
train:126,4,train
train:128,4,train
train:129,4,train
train:130,4,train
train:131,4,train
train:132,4,train
train:133,4,train
train:134,4,train
train:135,4,train
train:136,4,train
train:137,4,train
train:138,4,train
train:139,4,train
train:140,4,train
train:141,4,train
train:142,4,train
train:143,4,train
train:144,4,train
train:145,4,train
train:146,4,train
train:147,4,train
train:148,4,train
train:149,4,train
train:150,4,train
train:151,4,train
train:154,4,train
train:155,4,train
train:156,4,train
train:157,4,train
train:158,4,train
train:159,4,train
train:160,4,train
train:162,4,train
train:163,4,train
train:165,4,train
train:3,4,validation
train:5,4,validation
train:8,4,validation
train:9,4,validation
train:19,4,validation
train:20,4,validation
train:24,4,validation
train:37,4,validation
train:42,4,validation
train:44,4,validation
train:46,4,validation
train:53,4,validation
train:55,4,validation
train:57,4,validation
train:67,4,validation
train:71,4,validation
train:81,4,validation
train:89,4,validation
train:90,4,validation
train:92,4,validation
train:98,4,validation
train:99,4,validation
train:100,4,validation
train:102,4,validation
train:110,4,validation
train:111,4,validation
train:118,4,validation
train:125,4,validation
train:127,4,validation
train:152,4,validation
train:153,4,validation
train:161,4,validation
train:164,4,validation
